Source,Target,Type
Metanephrine_e,rx_148,Directed
ScAdenosylcLchomocysteine_c,rx_149,Directed
HhO_HhO_c,rx_149,Directed
rx_149,Adenosine_c,Directed
rx_149,LcHomocysteine_c,Directed
Nicotinate_e,rx_150,Directed
Oh_Oh_c,rx_151,Directed
Pyridoxal_c,rx_151,Directed
HhO_HhO_c,rx_151,Directed
rx_151,_hcPyridoxate_c,Directed
rx_151,Hydrogen_peroxide_c,Directed
AMP_ChhHhhNhOhP_c,rx_152,Directed
HhO_HhO_c,rx_152,Directed
rx_152,Adenosine_c,Directed
rx_152,Phosphate_c,Directed
AlphacDcRibose_hcphosphate_c,rx_153,Directed
rx_153,AlphacDcRibose_hcphosphate_c,Directed
_h_L_Glutamyl_L_alanine_ChHhhNhOh_e,rx_154,Directed
dRecScLactoylglutathione_c,rx_155,Directed
HhO_HhO_c,rx_155,Directed
rx_155,Hf_c,Directed
rx_155,Reduced_glutathione_c,Directed
rx_155,DcLactate_c,Directed
NcAcetylneuraminate_hcphosphate_c,rx_156,Directed
HhO_HhO_c,rx_156,Directed
rx_156,NcAcetylneuraminate_c,Directed
rx_156,Phosphate_c,Directed
Hypoxanthine_e,rx_157,Directed
rx_157,Hypoxanthine_c,Directed
Hf_c,rx_158,Directed
ATP_ChhHhhNhOhhPh_c,rx_158,Directed
FMN_ChhHhhNhOhP_c,rx_158,Directed
rx_158,Diphosphate_c,Directed
rx_158,Flavin_adenine_dinucleotide_oxidized_c,Directed
UMP_ChHhhNhOhP_c,rx_159,Directed
ATP_ChhHhhNhOhhPh_c,rx_159,Directed
rx_159,UDP_ChHhhNhOhhPh_c,Directed
rx_159,ADP_ChhHhhNhOhhPh_c,Directed
_hcMethylthiochcdeoxycDcribulose_hcphosphate_c,rx_160,Directed
rx_160,_hghcdiketochcmethylthiochcphosphopentane_c,Directed
rx_160,HhO_HhO_c,Directed
Hydrogen_peroxide_e,rx_161,Directed
Phosphate_c,rx_162,Directed
rx_162,Phosphate_e,Directed
ATP_ChhHhhNhOhhPh_c,rx_163,Directed
DcGlucosamine_c,rx_163,Directed
rx_163,DcGlucosamine_hcphosphate_c,Directed
rx_163,Hf_c,Directed
rx_163,ADP_ChhHhhNhOhhPh_c,Directed
Fumarate_e,rx_164,Directed
Hf_c,rx_165,Directed
AMP_ChhHhhNhOhP_c,rx_165,Directed
HhO_HhO_c,rx_165,Directed
rx_165,Ammonium_c,Directed
rx_165,IMP_ChhHhhNhOhP_c,Directed
Hf_c,rx_166,Directed
Adenosine_c,rx_166,Directed
HhO_HhO_c,rx_166,Directed
rx_166,Ammonium_c,Directed
rx_166,Inosine_c,Directed
LcArginine_e,rx_167,Directed
Sodium_e,rx_168,Directed
rx_168,Sodium_c,Directed
DcMannose_e,rx_169,Directed
_hcOxoproline_c,rx_170,Directed
ATP_ChhHhhNhOhhPh_c,rx_170,Directed
HhO_HhO_c,rx_170,Directed
rx_170,Hf_c,Directed
rx_170,LcGlutamate_c,Directed
rx_170,ADP_ChhHhhNhOhhPh_c,Directed
rx_170,Phosphate_c,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_171,Directed
DcGlucose_hcphosphate_c,rx_171,Directed
rx_171,Hf_c,Directed
rx_171,_hcphosphocDcgluconochghclactone_c,Directed
rx_171,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
Sodium_e,rx_172,Directed
Choline_ChHhhNO_e,rx_172,Directed
rx_172,Sodium_c,Directed
rx_172,Choline_ChHhhNO_c,Directed
DcLactate_e,rx_173,Directed
_hD_myo_Inositol_h_h_h_trisphosphate_ChHhOhhPh_c,rx_174,Directed
Glyceraldehyde_hcphosphate_c,rx_175,Directed
Nicotinamide_adenine_dinucleotide_c,rx_175,Directed
Phosphate_c,rx_175,Directed
rx_175,Hf_c,Directed
rx_175,_hcPhosphocDcglyceroyl_phosphate_c,Directed
rx_175,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
Chloride_c,rx_176,Directed
Bicarbonate_e,rx_176,Directed
rx_176,Bicarbonate_c,Directed
rx_176,Chloride_e,Directed
Hf_c,rx_177,Directed
CTP_ChHhhNhOhhPh_c,rx_177,Directed
Choline_phosphate_ChHhhNOhP_c,rx_177,Directed
rx_177,Diphosphate_c,Directed
rx_177,CDPcholine_ChhHhhNhOhhPh_c,Directed
Nicotinate_Dcribonucleotide_c,rx_178,Directed
HhO_HhO_c,rx_178,Directed
rx_178,Nicotinate_Dcribonucleoside_c,Directed
rx_178,Phosphate_c,Directed
_h_L_Glutamyl_L_alanine_ChHhhNhOh_e,rx_179,Directed
rx_179,_hcOxoproline_c,Directed
rx_179,LcAlanine_c,Directed
Urea_CHhNhO_e,rx_180,Directed
Adrenaline_e,rx_181,Directed
Pyridoxamine_e,rx_182,Directed
rx_182,Pyridoxamine_c,Directed
_hcPhosphocDcglycerate_c,rx_183,Directed
ATP_ChhHhhNhOhhPh_c,rx_183,Directed
rx_183,_hcPhosphocDcglyceroyl_phosphate_c,Directed
rx_183,ADP_ChhHhhNhOhhPh_c,Directed
