Source,Target,Type
_hcdhcDcRibitylaminoechcaminouracil_c,rx_56,Directed
rx_56,HhO_HhO_c,Directed
rx_56,_hghcDimethylchcdhcDcribitylelumazine_c,Directed
rx_56,Phosphate_c,Directed
Hf_c,rx_57,Directed
ADP_ChhHhhNhOhhPh_c,rx_57,Directed
Phosphoenolpyruvate_c,rx_57,Directed
rx_57,Pyruvate_c,Directed
rx_57,ATP_ChhHhhNhOhhPh_c,Directed
DcGlycerate_hcphosphate_c,rx_58,Directed
rx_58,HhO_HhO_c,Directed
rx_58,Phosphoenolpyruvate_c,Directed
HhO_HhO_c,rx_59,Directed
Lactosechcphosphate_c,rx_59,Directed
rx_59,DcGlucose_c,Directed
rx_59,DcGalactose_hcphosphate_c,Directed
DcLactate_c,rx_60,Directed
Nicotinamide_adenine_dinucleotide_c,rx_60,Directed
rx_60,Hf_c,Directed
rx_60,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_60,Pyruvate_c,Directed
Potassium_e,rx_61,Directed
_hcdhcPhosphoribosylechcadhcphosphoribosylaminoemethylideneaminobimidazolechccarboxamide_c,rx_62,Directed
rx_62,_hcadhcphosphochcdeoxyribuloschcylaminoemethylideneaminobchcdhcphosphoribosyleimidazolechccarboxamide_c,Directed
HhO_HhO_c,rx_63,Directed
LcGlutamine_c,rx_63,Directed
_hcPhosphocalphacDcribose_hcdiphosphate_c,rx_63,Directed
rx_63,Diphosphate_c,Directed
rx_63,_hcPhosphocbetacDcribosylamine_c,Directed
rx_63,LcGlutamate_c,Directed
DcRibulose_hcphosphate_c,rx_64,Directed
rx_64,DcXylulose_hcphosphate_c,Directed
Lactose_ChhHhhOhh_e,rx_65,Directed
Phosphoenolpyruvate_c,rx_65,Directed
rx_65,Lactosechcphosphate_c,Directed
rx_65,Pyruvate_c,Directed
Urea_CHhNhO_e,rx_66,Directed
rx_66,Urea_CHhNhO_c,Directed
LcTryptophan_e,rx_67,Directed
Hf_e,rx_68,Directed
CitratecMg_e,rx_68,Directed
rx_68,Hf_c,Directed
rx_68,CitratecMg_c,Directed
Bicarbonate_c,rx_69,Directed
_hcaminochcdhcphosphocDcribosyleimidazole_c,rx_69,Directed
ATP_ChhHhhNhOhhPh_c,rx_69,Directed
rx_69,Hf_c,Directed
rx_69,_hcphosphoribosylchccarboxyaminoimidazole_c,Directed
rx_69,ADP_ChhHhhNhOhhPh_c,Directed
rx_69,Phosphate_c,Directed
LcLeucine_e,rx_70,Directed
Hydroxymethylbilane_c,rx_71,Directed
rx_71,HhO_HhO_c,Directed
rx_71,Uroporphyrinogen_III_c,Directed
_hcdhcPhosphoribosylecAMP_c,rx_72,Directed
HhO_HhO_c,rx_72,Directed
rx_72,_hcdhcPhosphoribosylechcadhcphosphoribosylaminoemethylideneaminobimidazolechccarboxamide_c,Directed
Isocitrate_c,rx_73,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c,rx_73,Directed
rx_73,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
rx_73,_hcOxoglutarate_c,Directed
rx_73,COh_COh_c_sink,Directed
_hcketochcmethylthiobutyrate_c,rx_74,Directed
LcGlutamate_c,rx_74,Directed
rx_74,LcMethionine_c,Directed
rx_74,_hcOxoglutarate_c,Directed
Nicotinate_e,rx_75,Directed
AlphacDcRibose_hcphosphate_c,rx_76,Directed
rx_76,AlphacDcRibose_hcphosphate_c,Directed
AcetylcCoA_c,rx_77,Directed
LcGlutamate_c,rx_77,Directed
rx_77,Hf_c,Directed
rx_77,Coenzyme_A_c,Directed
rx_77,NcAcetylcLcglutamate_c,Directed
UDPcNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,rx_78,Directed
Undecaprenyl_phosphate_c,rx_78,Directed
rx_78,UndecaprenylcdiphosphocNcacetylmuramoylcLcalanylcDcglutamylcmesochghcdiaminopimeloylcDcalanylcDcalanine_c,Directed
rx_78,UMP_ChHhhNhOhP_c,Directed
_hcMethylthiochcdeoxycDcribulose_hcphosphate_c,rx_79,Directed
rx_79,HhO_HhO_c,Directed
rx_79,_hghcdiketochcmethylthiochcphosphopentane_c,Directed
dSechcHydroxyhexadecanoylcCoA_c,rx_80,Directed
rx_80,HhO_HhO_c,Directed
rx_80,TranscHexadecchcenoylcCoA_c,Directed
Ethanol_c,rx_81,Directed
Nicotinamide_adenine_dinucleotide_c,rx_81,Directed
rx_81,Hf_c,Directed
rx_81,Nicotinamide_adenine_dinucleotide_c_reduced_c,Directed
rx_81,Acetaldehyde_c,Directed
Hf_e,rx_82,Directed
LcTyrosine_e,rx_82,Directed
rx_82,Hf_c,Directed
rx_82,LcTyrosine_c,Directed
Hf_c,rx_83,Directed
Lipoamide_ChHhhNOSh_c,rx_83,Directed
_hcMethylchcoxobutanoate_c,rx_83,Directed
rx_83,ScdhcMethylpropanoylecdihydrolipoamide_c,Directed
rx_83,COh_COh_c_sink,Directed
NcAcetylcDcglucosamine_e,rx_84,Directed
LcCarnitine_e,rx_85,Directed
Chorismate_c,rx_86,Directed
rx_86,Prephenate_c,Directed
Hf_c,rx_87,Directed
HhO_HhO_c,rx_87,Directed
