Source,Target,Type
rx_130,Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,Directed
Sulfate_e,rx_131,Directed
Thiamin_e,rx_132,Directed
ATP_ChhHhhNhOhhPh_c,rx_132,Directed
HhO_HhO_c,rx_132,Directed
rx_132,Hf_c,Directed
rx_132,Thiamin_c,Directed
rx_132,ADP_ChhHhhNhOhhPh_c,Directed
rx_132,Phosphate_c,Directed
_hcMethylchcdhcphosphoethylecthiazole_c,rx_133,Directed
Hf_c,rx_133,Directed
_hcMethylchcaminochchydroxymethylpyrimidine_diphosphate_c,rx_133,Directed
rx_133,Diphosphate_c,Directed
rx_133,Thiamin_monophosphate_c,Directed
Acetoacetate_e,rx_134,Directed
ATP_ChhHhhNhOhhPh_c,rx_135,Directed
Formate_c,rx_135,Directed
NhcdhcPhosphocDcribosyleglycinamide_c,rx_135,Directed
rx_135,Hf_c,Directed
rx_135,NhcFormylcNhcdhcphosphocDcribosyleglycinamide_c,Directed
rx_135,ADP_ChhHhhNhOhhPh_c,Directed
rx_135,Phosphate_c,Directed
LcMethionine_c,rx_136,Directed
ATP_ChhHhhNhOhhPh_c,rx_136,Directed
HhO_HhO_c,rx_136,Directed
rx_136,Diphosphate_c,Directed
rx_136,ScAdenosylcLcmethionine_c,Directed
rx_136,Phosphate_c,Directed
Hf_c,rx_137,Directed
_hcdeoxycDcxylulose_hcphosphate_c,rx_137,Directed
Nicotinamide_adenine_dinucleotide_phosphate_c_reduced_c,rx_137,Directed
rx_137,Nicotinamide_adenine_dinucleotide_phosphate_c,Directed
rx_137,_hcCcmethylcDcerythritol_hcphosphate_c,Directed
_hcMethylthioadenosine_c,rx_138,Directed
HhO_HhO_c,rx_138,Directed
rx_138,_hcMethylthiocDcribose_c,Directed
rx_138,Adenine_c,Directed
Hf_e,rx_139,Directed
DcSerine_e,rx_139,Directed
rx_139,Hf_c,Directed
rx_139,DcSerine_c,Directed
_hcdhcDcRibitylaminoechcaminouracil_c,rx_140,Directed
_hghcdihydroxychcbutanone_hcphosphate_c,rx_140,Directed
rx_140,_hghcDimethylchcdhcDcribitylelumazine_c,Directed
rx_140,Phosphate_c,Directed
rx_140,HhO_HhO_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_141,Directed
_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_ChHhNhOh_c,rx_141,Directed
rx_141,Hf_c,Directed
rx_141,_h_Amino_h_hydroxy_h_hydroxymethyl_h_h_dihydropteridine_diphosphate_ChHhNhOhPh_c,Directed
rx_141,AMP_ChhHhhNhOhP_c,Directed
Anthranilate_c,rx_142,Directed
_hcPhosphocalphacDcribose_hcdiphosphate_c,rx_142,Directed
rx_142,Diphosphate_c,Directed
rx_142,NcdhcPhosphocDcribosyleanthranilate_c,Directed
DcGlycerate_hcphosphate_c,rx_143,Directed
rx_143,Phosphoenolpyruvate_c,Directed
rx_143,HhO_HhO_c,Directed
Hf_e,rx_144,Directed
Cytidine_e,rx_144,Directed
rx_144,Hf_c,Directed
rx_144,Cytidine_c,Directed
FMN_ChhHhhNhOhP_c,rx_145,Directed
HhO_HhO_c,rx_145,Directed
rx_145,Riboflavin_ChhHhhNhOh_c,Directed
rx_145,Phosphate_c,Directed
DcFructose_hghcbisphosphate_c,rx_146,Directed
HhO_HhO_c,rx_146,Directed
rx_146,DcFructose_hcphosphate_c,Directed
rx_146,Phosphate_c,Directed
ATP_ChhHhhNhOhhPh_c,rx_147,Directed
DcGlycerocDcmannocheptose_hcphosphate_c,rx_147,Directed
rx_147,DcGlycerocDcmannocheptose_hghcbisphosphate_c,Directed
rx_147,Hf_c,Directed
rx_147,ADP_ChhHhhNhOhhPh_c,Directed
