Source,Target,Type
rx_122,COhacb,Directed
rx_122,homogentisateacb,Directed
homogentisateacb,rx_123,Directed
Ohacb,rx_123,Directed
rx_123,_hcmaleylacetoacetateacb,Directed
_hcmaleylacetoacetateacb,rx_124,Directed
rx_124,fumarylacetoacetateacb,Directed
fumarylacetoacetateacb,rx_125,Directed
HhOacb,rx_125,Directed
rx_125,acetoacetateacb,Directed
rx_125,fumarateacb,Directed
ATPacb,rx_126,Directed
HhOacb,rx_126,Directed
methionineacb,rx_126,Directed
rx_126,Piacb,Directed
rx_126,PPiacb,Directed
rx_126,SAMacb,Directed
HhOacb,rx_127,Directed
SAHacb,rx_127,Directed
rx_127,adenosineacb,Directed
rx_127,homocysteineacb,Directed
homocysteineacb,rx_128,Directed
serineacb,rx_128,Directed
rx_128,HhOacb,Directed
rx_128,Lccystathionineacb,Directed
HhOacb,rx_129,Directed
Lccystathionineacb,rx_129,Directed
rx_129,_hcoxobutyrateacb,Directed
rx_129,cysteineacb,Directed
rx_129,NHhacb,Directed
cystineacb,rx_130,Directed
GSHacb,rx_130,Directed
rx_130,cysteineacb,Directed
rx_130,GSSGacb,Directed
GSSGacb,rx_131,Directed
Hfacb,rx_131,Directed
NADHacb,rx_131,Directed
rx_131,GSHacb,Directed
rx_131,NADfacb,Directed
ATPacb,rx_132,Directed
cysteineacb,rx_132,Directed
glutamateacb,rx_132,Directed
rx_132,ADPacb,Directed
rx_132,gammacglutamylccysteineacb,Directed
rx_132,Piacb,Directed
ATPacb,rx_133,Directed
gammacglutamylccysteineacb,rx_133,Directed
glycineacb,rx_133,Directed
rx_133,ADPacb,Directed
rx_133,GSHacb,Directed
rx_133,Piacb,Directed
_hcmethylchcoxobutyrateamb,rx_134,Directed
CoAamb,rx_134,Directed
NADfamb,rx_134,Directed
rx_134,COhamb,Directed
rx_134,Hfamb,Directed
rx_134,isobutyrylcCoAamb,Directed
rx_134,NADHamb,Directed
isobutyrylcCoAamb,rx_135,Directed
ubiquinoneamb,rx_135,Directed
rx_135,methacrylylcCoAamb,Directed
rx_135,ubiquinolamb,Directed
HhOamb,rx_136,Directed
methacrylylcCoAamb,rx_136,Directed
rx_136,_hchydroxyisobutyrylcCoAamb,Directed
_hchydroxyisobutyrylcCoAamb,rx_137,Directed
HhOamb,rx_137,Directed
rx_137,_hchydroxyisobutyrateamb,Directed
rx_137,CoAamb,Directed
_hcmethylchcoxopentanoateamb,rx_138,Directed
CoAamb,rx_138,Directed
NADfamb,rx_138,Directed
rx_138,COhamb,Directed
rx_138,Hfamb,Directed
rx_138,isovalerylcCoAamb,Directed
rx_138,NADHamb,Directed
isovalerylcCoAamb,rx_139,Directed
ubiquinoneamb,rx_139,Directed
rx_139,_hcmethylcrotonylcCoAamb,Directed
rx_139,ubiquinolamb,Directed
_hcmethylcrotonylcCoAamb,rx_140,Directed
ATPamb,rx_140,Directed
Hfamb,rx_140,Directed
HCOhcamb,rx_140,Directed
rx_140,_hcmethylglutaconylcCoAamb,Directed
rx_140,ADPamb,Directed
rx_140,Piamb,Directed
_hcmethylglutaconylcCoAamb,rx_141,Directed
HhOamb,rx_141,Directed
rx_141,HMGcCoAamb,Directed
_hcoxochcmethylvalerateamb,rx_142,Directed
CoAamb,rx_142,Directed
NADfamb,rx_142,Directed
rx_142,_hcmethylbutyrylcCoAamb,Directed
rx_142,COhamb,Directed
rx_142,Hfamb,Directed
rx_142,NADHamb,Directed
_hcmethylbutyrylcCoAamb,rx_143,Directed
ubiquinoneamb,rx_143,Directed
rx_143,tiglylcCoAamb,Directed
rx_143,ubiquinolamb,Directed
HhOamb,rx_144,Directed
tiglylcCoAamb,rx_144,Directed
rx_144,dSechchydroxychcmethylbutyrylcCoAamb,Directed
dSechchydroxychcmethylbutyrylcCoAamb,rx_145,Directed
NADfamb,rx_145,Directed
rx_145,_hcmethylacetoacetylcCoAamb,Directed
rx_145,Hfamb,Directed
rx_145,NADHamb,Directed
Ncacetylglucosaminechcphosphateacb,rx_146,Directed
UTPacb,rx_146,Directed
rx_146,PPiacb,Directed
rx_146,UDPcNcacetylglucosamineacb,Directed
fructosechcphosphateacb,rx_147,Directed
glutamineacb,rx_147,Directed
rx_147,glucosaminechcphosphateacb,Directed
rx_147,glutamateacb,Directed
acetylcCoAacb,rx_148,Directed
glucosaminechcphosphateacb,rx_148,Directed
rx_148,CoAacb,Directed
rx_148,Ncacetylglucosaminechcphosphateacb,Directed
Ncacetylglucosaminechcphosphateacb,rx_149,Directed
rx_149,Ncacetylglucosaminechcphosphateacb,Directed
SAMacb,rx_150,Directed
THFacb,rx_150,Directed
rx_150,_hcmethylcTHFacb,Directed
rx_150,SAHacb,Directed
HhOacb,rx_151,Directed
PAPacb,rx_151,Directed
rx_151,AMPacb,Directed
rx_151,Piacb,Directed
isocitrateacb,rx_152,Directed
NADPfacb,rx_152,Directed
rx_152,AKGacb,Directed
rx_152,COhacb,Directed
rx_152,Hfacb,Directed
rx_152,NADPHacb,Directed
acetoacetateamb,rx_153,Directed
succinylcCoAamb,rx_153,Directed
rx_153,acetoacetylcCoAamb,Directed
rx_153,succinateamb,Directed
Hfacb,rx_154,Directed
NADHacb,rx_154,Directed
OAAacb,rx_154,Directed
rx_154,malateacb,Directed
rx_154,NADfacb,Directed
malateamb,rx_155,Directed
NADfamb,rx_155,Directed
rx_155,Hfamb,Directed
rx_155,NADHamb,Directed
rx_155,OAAamb,Directed
acetylcCoAamb,rx_156,Directed
HhOamb,rx_156,Directed
OAAamb,rx_156,Directed
rx_156,citrateamb,Directed
rx_156,CoAamb,Directed
GDPamb,rx_157,Directed
Piamb,rx_157,Directed
succinylcCoAamb,rx_157,Directed
rx_157,CoAamb,Directed
rx_157,GTPamb,Directed
rx_157,succinateamb,Directed
ATPacb,rx_158,Directed
citrateacb,rx_158,Directed
CoAacb,rx_158,Directed
rx_158,acetylcCoAacb,Directed
rx_158,ADPacb,Directed
rx_158,OAAacb,Directed
rx_158,Piacb,Directed
ADPamb,rx_159,Directed
Piamb,rx_159,Directed
succinylcCoAamb,rx_159,Directed
rx_159,ATPamb,Directed
rx_159,CoAamb,Directed
rx_159,succinateamb,Directed
fumarateamb,rx_160,Directed
HhOamb,rx_160,Directed
rx_160,malateamb,Directed
citrateacb,rx_161,Directed
rx_161,isocitrateacb,Directed
succinateamb,rx_162,Directed
ubiquinoneamb,rx_162,Directed
rx_162,fumarateamb,Directed
rx_162,ubiquinolamb,Directed
AKGamb,rx_163,Directed
CoAamb,rx_163,Directed
NADfamb,rx_163,Directed
rx_163,COhamb,Directed
rx_163,Hfamb,Directed
rx_163,NADHamb,Directed
rx_163,succinylcCoAamb,Directed
ATPacb,rx_164,Directed
Dcxyluloseacb,rx_164,Directed
rx_164,ADPacb,Directed
rx_164,Dcxylulosechcphosphateacb,Directed
Dcxylulosechcphosphateacb,rx_165,Directed
rx_165,DHAPacb,Directed
rx_165,glycolaldehydeacb,Directed
glycolaldehydeacb,rx_166,Directed
HhOacb,rx_166,Directed
NADfacb,rx_166,Directed
rx_166,glycolateacb,Directed
rx_166,Hfacb,Directed
rx_166,NADHacb,Directed
HhOacb,rx_167,Directed
PPiacb,rx_167,Directed
rx_167,Piacb,Directed
ADPamb,rx_168,Directed
Hfacb,rx_168,Directed
Piamb,rx_168,Directed
rx_168,ATPamb,Directed
rx_168,Hfamb,Directed
rx_168,HhOamb,Directed
Hfamb,rx_169,Directed
NADHamb,rx_169,Directed
ubiquinoneamb,rx_169,Directed
rx_169,Hfacb,Directed
rx_169,NADfamb,Directed
rx_169,ubiquinolamb,Directed
ATPacb,rx_170,Directed
CoAacb,rx_170,Directed
palmitateacb,rx_170,Directed
rx_170,AMPacb,Directed
rx_170,palmitoylcCoAacb,Directed
rx_170,PPiacb,Directed
AMPacb,rx_171,Directed
PPiacb,rx_171,Directed
stearoylcCoAacb,rx_171,Directed
rx_171,ATPacb,Directed
rx_171,CoAacb,Directed
rx_171,stearateacb,Directed
acetylcaACPbacb,rx_172,Directed
malonylcaACPbacb,rx_172,Directed
rx_172,aACPbacb,Directed
rx_172,acetoacetylcaACPbacb,Directed
rx_172,COhacb,Directed
acetoacetylcaACPbacb,rx_173,Directed
Hfacb,rx_173,Directed
NADPHacb,rx_173,Directed
rx_173,dRechchydroxybutanoylcaACPbacb,Directed
rx_173,NADPfacb,Directed
dRechchydroxybutanoylcaACPbacb,rx_174,Directed
rx_174,butchcenoylcaACPbacb,Directed
rx_174,HhOacb,Directed
butchcenoylcaACPbacb,rx_175,Directed
Hfacb,rx_175,Directed
NADPHacb,rx_175,Directed
rx_175,butyrylcaACPbacb,Directed
rx_175,NADPfacb,Directed
butyrylcaACPbacb,rx_176,Directed
malonylcaACPbacb,rx_176,Directed
rx_176,aACPbacb,Directed
rx_176,_hcoxohexanoylcaACPbacb,Directed
rx_176,COhacb,Directed
_hcoxohexanoylcaACPbacb,rx_177,Directed
Hfacb,rx_177,Directed
NADPHacb,rx_177,Directed
rx_177,DchchydroxyhexanoylcaACPbacb,Directed
rx_177,NADPfacb,Directed
DchchydroxyhexanoylcaACPbacb,rx_178,Directed
rx_178,dhEechexenoylcaACPbacb,Directed
